,Grade,Video Uploads,Subscribers,Video views
353,A ,129,13859359,11245381351
354,A ,4534,1263614,359983508
355,A ,3883,20279518,10029328079
356,A ,93500,3992315,2493477931
358,A ,599,15494356,1605548778
359,A ,2133,5303195,4163257751
360,A ,714,11055805,6910079660
361,A ,90,10432036,2856357178
362,A ,2914,14847336,3890903315
363,A ,2856,4493420,2664911984
364,A ,7783,4762083,2868206239
365,A ,6515,19251064,6724579643
366,A ,230,1985005,671623629
367,A ,441,16079571,7977828657
368,A ,328,2009235,636233141
369,A ,80773,4545223,3420909679
370,A ,8749,2220541,2254176139
371,A ,253,3017957,730924615
372,A ,168,4290854,2352013080
373,A ,66,22429704,9585784755
374,A ,1051,8372200,7657631499
375,A ,413,1125064,549165956
376,A ,12492,3058938,1932816826
377,A ,559,4172856,2133463422
378,A ,876,11384073,1716165250
379,A ,1031,3886360,2653184170
380,A ,1824,1952190,2634818164
381,A ,314,8053378,4579379824
383,A ,3502,2775635,1733863531
384,A ,1232,6735667,1909329812
385,A ,9197,4184884,6194595714
386,A ,2798,16032156,4718424990
387,A ,2709,4990716,2003373411
388,A ,695,8831316,6994765647
389,A ,11,12685253,2612504875
390,A ,214,9702841,2582895675
393,A ,630,4808885,2489747155
394,A ,8177,2646160,3506432060
395,A ,4313,2450645,3597618217
396,A ,14632,4020969,2036985343
397,A ,37,1313196,393630715
398,A ,14718,5410907,3383609663
399,A ,104,718687,175347702
400,A ,129191,10679348,8056294817
401,A ,4267,1489506,729940719
402,A ,2689,2114721,1512264736
403,A ,992,5018248,2143367052
404,A ,16299,340403,410943636
405,A ,369,4363996,1910133334
406,A ,132,4159780,3687360151
407,A ,136,1466132,565375531
408,A ,4889,5116532,3865093349
409,A ,945,1178829,1500659550
411,A ,166,5699402,1982602090
412,A ,2740,2516727,1768852473
413,A ,2162,7624064,1783864167
414,A ,5904,1078228,1112855844
415,A ,18326,3977783,3031861293
416,A ,3442,15018366,6057239871
417,A ,46,3804619,716709482
418,A ,1351,1212057,2734803314
419,A ,146,2562315,2129623713
420,A ,1591,4036875,1744990310
421,A ,240,4308377,743249597
422,A ,7344,3048075,2462265858
423,A ,3226,2348868,715715655
424,A ,445,2040038,983320601
425,A ,63,978949,471248782
426,A ,27103,5620849,5783417467
427,A ,6013,2937893,1894511245
428,A ,331,2719453,1030161157
429,A ,68,2382616,551969826
430,A ,27261,2564421,2394808587
431,A ,89,2308056,905063331
432,A ,425,1674121,1365779337
433,A ,417,2507568,474832282
434,A ,3367,75204,55530034
435,A ,123,34284457,17806717170
436,A ,2922,5340320,2180744624
437,A ,1448,1637590,802845001
438,A ,556,6284767,3429851617
439,A ,46,2025006,996504205
440,A ,13570,3156767,2240702588
441,A ,71230,3460726,2713462365
442,A ,55857,3551228,2355053169
443,A ,35,2020441,1017381875
444,A ,474,1155142,724294260
445,A ,55,4988442,1653213776
446,A ,1385,3392050,1934297777
447,A ,48916,2805442,1954282147
448,A ,67,6067950,3889083754
449,A ,2588,4043040,5203293409
450,A ,2498,6544181,5141974207
451,A ,119,3583808,1761645630
452,A ,75,3862981,1167700114
453,A ,80,358149,76656569
454,A ,179,17669,60612460
455,A ,55,1401968,333811236
456,A ,8,334698,41216964
458,A ,12892,3847648,1937954166
459,A ,542,1347687,1707375215
460,A ,5448,135115,178350550
461,A ,532,17945959,2051125858
462,A ,113,3101776,606853080
463,A ,7172,6387141,4862689027
464,A ,140,979196,323870835
465,A ,60513,1416231,1035395290
466,A ,130,1093254,65664124
467,A ,162,7949807,5179163640
468,A ,48,2540686,386270219
469,A ,854,2914807,1170885826
470,A ,1891,1894980,1348031374
471,A ,71,129991,83462115
472,A ,44,11386718,6743491448
473,A ,1897,4422554,2361822451
474,A ,162,3671418,2858271708
475,A ,260,3061713,866717463
476,A ,869,5135349,1343344807
477,A ,845,9229278,7597128741
478,A ,94,1213669,340773472
479,A ,99,635626,279116731
480,A ,1723,17927894,7029613955
481,A ,364,6959392,2664624642
482,A ,98889,2464042,1966034210
483,A ,170,164336,89243332
484,A ,10323,3389469,1825619072
485,A ,172,4723922,1063983913
486,A ,92,425702,71272697
487,A ,76,1933580,619646473
488,A ,3805,4652958,3205836807
489,A ,312,5895361,1262196983
490,A ,6630,41399,51660243
491,A ,1724,16966855,4241490038
492,A ,1297,3178186,2553263519
493,A ,1005,23439171,7606645215
495,A ,247,75635,235743811
496,A ,232,7865077,3677335841
497,A ,7470,2075757,2156357155
498,A ,428,4393726,2440245047
499,A ,161,746287,188785092
500,A ,491,12586430,6185387985
501,A ,7401,3186413,1565396141
502,A ,80,7846973,2677839550
503,A ,137,142215,1637310766
504,A ,43754,4406595,4274525661
505,A ,1912,2883199,3702280518
506,A ,6731,6558413,1430595927
507,A ,16,6759682,802308602
508,A ,102,11576519,5074341586
510,A ,269,1081947,216607117
511,A ,5774,1240714,1136242065
512,A ,351,1596886,890757462
513,A ,103,8219221,1323067089
514,A ,4545,2573697,1021818911
515,A ,266,1032144,123680725
516,A ,4319,12372954,2856472636
518,A ,7187,4138406,3204947818
519,A ,524,2704797,1052894547
521,A ,3599,1554375,626173223
522,A ,131,13756259,8783839912
523,A ,1042,18107011,6124740074
524,A ,1296,7193726,1212565094
525,A ,950,5660253,1587934374
526,A ,1289,9261717,3828620969
527,A ,646,7329039,1706535902
528,A ,2182,1925572,870813464
529,A ,154,3798576,1520109928
530,A ,2347,9029397,2077030265
531,A ,688,5147303,704498710
532,A ,36,695350,244495180
533,A ,2180,9038535,5239447293
534,A ,6013,3417409,2119946185
535,A ,142,3084830,601894019
536,A ,401,970848,739666244
537,A ,1940,4726416,3573270201
538,A ,1530,3487950,1845375376
540,A ,40464,1905984,2066100793
541,A ,388,884696,314026490
542,A ,125,309044,129401025
543,A ,198,3149612,1677529254
544,A ,70114,2228419,1508118007
545,A ,13658,2065192,1301504088
546,A ,288,1697335,257776678
547,A ,248,3213494,619930129
548,A ,15406,3809945,1831219507
550,A ,235,4819898,1213718048
551,A ,2102,5846998,2966524671
552,A ,78,12768568,4986609952
553,A ,1270,2744626,2005878459
554,A ,3454,6370205,1335943968
555,A ,734,848717,515985070
557,A ,1378,1384292,1329783176
558,A ,615,5076689,1020204868
559,A ,289,2364613,1018207318
560,A ,12979,2970128,3286329190
561,A ,1015,1182604,1579420780
